Symbol,Name,"Market Cap","P/E ttm","EPS ttm","Net Income(a)",Beta,Dividend(a),"Div Yield"
A,"Agilent Technologies",41073288000,38.66,3.53,719000000,1.01,0.78,0.57%
AAL,"American Airlines Gp",13918011000,0,-21.54,-8885000000,1.93,0,0.00%
AAP,"Advance Auto Parts Inc",12949509000,23.18,8.51,493020000,1.36,1,0.51%
AAPL,"Apple Inc",2242553920000,36.4,3.7,57411000000,1.22,0.82,0.61%
ABBV,"Abbvie Inc",197536976000,10.6,10.51,4616000000,0.83,5.2,4.67%
ABC,"Amerisourcebergen Corp",24427568000,14.28,8.32,-3408720000,0.54,1.76,1.48%
ABMD,"Abiomed Inc",15883768000,90.59,3.76,203010000,1.31,0,0.00%
ABT,"Abbott Laboratories",215152192000,28.17,4.32,4495000000,0.71,1.8,1.48%
ACN,"Accenture Plc",184660480000,37.21,7.8,5107840000,1.1,3.52,1.21%
ADBE,"Adobe Systems Inc",246399440000,55.87,9.26,5260000000,0.95,0,0.00%
ADI,"Analog Devices",57569600000,29.99,5.32,1220760000,1.29,2.76,1.73%
ADM,"Archer Daniels Midland",35241408000,14.24,3.59,1772000000,0.87,1.48,2.39%
ADP,"Automatic Data Procs",79862160000,32.7,5.99,2466500000,0.73,3.72,1.90%
ADSK,"Autodesk Inc",65708516000,117.27,2.54,1208200000,1.34,0,0.00%
AEE,"Ameren Corp",21365048000,23.84,3.5,871000000,0.25,2.2,2.64%
AEP,"American Electric Power Company",43343320000,19.08,4.57,2200100000,0.25,2.96,3.39%
AES,"The Aes Corp",18687092000,19.31,1.44,46000000,0.81,0.6,2.17%
AFL,"Aflac Inc",36800352000,10.81,4.95,4778000000,1,1.32,2.47%
AIG,"American International Group",41573648000,19.22,2.52,-5944000000,1.36,1.28,2.64%
AIZ,"Assurant Inc",8951222000,18.14,8.62,441800000,0.61,2.64,1.69%
AJG,"Arthur J. Gallagher & Company",27337752000,29.3,4.73,818800000,0.65,1.92,1.39%
AKAM,"Akamai Technologies",17838828000,26.58,4.2,557050000,0.41,0,0.00%
ALB,"Albemarle Corp",19772028000,41.2,4.12,375760000,1.52,1.56,0.92%
ALGN,"Align Technology",48538856000,27.7,22.45,1775890000,1.7,0,0.00%
ALK,"Alaska Air Group",8539304000,0,-12.83,-1324000000,1.85,0,0.00%
ALL,"Allstate Corp",37647872000,8.5,14.81,5576000000,0.84,3.24,2.57%
ALLE,"Allegion Plc",12281995000,26.07,5.28,314300000,1.19,1.44,1.05%
ALXN,"Alexion Pharm Inc",36832824000,14.3,11.68,603400000,1.26,0,0.00%
AMAT,"Applied Materials",124517424000,29.8,4.59,3619000000,1.5,0.88,0.64%
AMCR,"Amcor Plc",18259522000,0,0.5,612200000,0.89,0.47,4.03%
AMD,"Adv Micro Devices",102051360000,60.86,1.07,2490000000,2.06,0,0.00%
AME,"Amtek Inc",31174158000,34.2,3.95,872440000,1.35,0.8,0.59%
AMGN,"Amgen Inc",136298096000,15.82,16.6,7264000000,0.74,7.04,2.76%
AMP,"Ameriprise Financial Services",29921632000,15.21,16.85,1534000000,1.7,4.16,1.62%
AMT,"American Tower Corp",111962552000,29.74,3.79,1690600000,0.21,4.96,1.96%
AMZN,"Amazon.com Inc",1743488640000,81.82,41.77,21331000000,1.12,0,0.00%
ANET,"Arista Networks Inc",24464688000,40.85,7.81,634560000,1.19,0,0.00%
ANSS,"Ansys Inc",32710480000,70.21,5.32,433890000,1.21,0,0.00%
ANTM,"Anthem Inc",91883928000,16.42,22.95,4572000000,1.05,4.52,1.20%
AON,"AON Plc",53910352000,23.88,9.79,1969000000,0.83,1.84,0.79%
AOS,"Smith A.O. Corp",10764974000,31.39,2.17,344900000,1.07,1.04,1.53%
APA,"Apa Corp",7744544000,0,-1.08,-4860000000,4.96,0.1,0.53%
APD,"Air Products and Chemicals",64079604000,34.66,8.36,1886700000,0.77,6,2.07%
